;club_name;player_name;age;position;club_involved_name;fee;transfer_movement;transfer_period;fee_cleaned;league_name;year;season;player_url;id-name
2847;FC Empoli;Nicolas Haas;25.0;Central Midfield;Atalanta BC;£2.70m;in;Summer;2.7;Serie A;2021;2021/2022;https://sofifa.com/player/225117/nicolas-haas/220002;nicolas-haas
2848;OGC Nice;Stanley Nsoki;20.0;Centre-Back;Paris SG;£11.25m;in;Summer;11.25;Ligue 1;2019;2019/2020;https://sofifa.com/player/241941/stanley-nsoki/200002;stanley-nsoki
2849;Parma Calcio 1913;Alberto Grassi;25.0;Central Midfield;SSC Napoli;£7.61m;in;Summer;7.61;Serie A;2020;2020/2021;https://sofifa.com/player/220475/alberto-grassi/210002;alberto-grassi
2850;NEC Nijmegen;Joey Sleegers;21.0;Left Winger;Feyenoord;£90Th.;in;Summer;0.09;Eredivisie;2015;2015/2016;https://sofifa.com/player/204510/joey-sleegers/160002;joey-sleegers
2851;Paris Saint-Germain;Juan Bernat;25.0;Left-Back;FC Bayern;£4.50m;in;Summer;4.5;Ligue 1;2018;2018/2019;https://sofifa.com/player/205069/juan-bernat-velasco/190002;juan-bernat
2852;OGC Nice;Hicham Boudaoui;19.0;Central Midfield;Paradou AC;£3.60m;in;Summer;3.6;Ligue 1;2019;2019/2020;0;hicham-boudaoui
2853;Swansea City;Sam Clucas;26.0;Central Midfield;Hull City;£14.67m;in;Summer;14.67;Premier League;2017;2017/2018;https://sofifa.com/player/193884/sam-clucas/180002;sam-clucas
2854;Huddersfield Town;Terence Kongolo;24.0;Centre-Back;Monaco;£18.00m;in;Summer;18.0;Premier League;2018;2018/2019;https://sofifa.com/player/203485/terence-kongolo/190002;terence-kongolo
2855;Parma Calcio 1913;Yann Karamoh;22.0;Left Winger;Inter;£7.20m;in;Summer;7.2;Serie A;2020;2020/2021;https://sofifa.com/player/231826/yann-karamoh/210002;yann-karamoh
2856;Blackburn Rovers;Derrick Williams;23.0;Centre-Back;Bristol City;£180Th.;in;Summer;0.18;Championship;2016;2016/2017;https://sofifa.com/player/203398/derrick-williams/170002;derrick-williams
2857;FC Empoli;Ardian Ismajli;24.0;Centre-Back;Spezia Calcio;£1.80m;in;Summer;1.8;Serie A;2021;2021/2022;https://sofifa.com/player/258782/ardian-ismajli/220002;ardian-ismajli
2858;GD Estoril Praia;Léo Bonatini;21.0;Centre-Forward;Cruzeiro;£360Th.;in;Summer;0.36;Liga Nos;2015;2015/2016;https://sofifa.com/player/220685/leonardo-b-lohner-maia/160002;léo-bonatini
2859;Huddersfield Town;Adama Diakhaby;22.0;Left Winger;Monaco;£9.00m;in;Summer;9.0;Premier League;2018;2018/2019;https://sofifa.com/player/234924/adama-diakhaby/190002;adama-diakhaby
